+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
|  99  | ZINC000100734163 |    Q4QBL1   |      7.69     |
| 100  | ZINC000003798734 |    Q4QBL1   |      7.71     |
| 101  | ZINC000012496045 |    Q4QBL1   |      7.71     |
| 102  | ZINC000072190219 |    Q4QBL1   |      8.01     |
| 103  | ZINC000118915344 |    Q4QBL1   |      8.11     |
| 104  | ZINC000004214473 |    Q4QBL1   |      8.11     |
| 105  | ZINC000256479159 |    Q4QBL1   |      8.11     |
| 106  | ZINC000256479166 |    Q4QBL1   |      8.11     |
| 107  | ZINC000256479162 |    Q4QBL1   |      8.11     |
| 108  | ZINC000027552910 |    Q4QBL1   |      8.11     |
| 109  | ZINC000003922770 |    Q4QBL1   |      8.35     |
| 110  | ZINC000003974496 |    Q4QBL1   |      8.41     |
| 111  | ZINC000000006157 |    Q4QBL1   |      8.41     |
| 112  | ZINC000001999487 |    Q4QBL1   |      8.41     |
| 113  | ZINC000004214603 |    Q4QBL1   |      8.47     |
| 114  | ZINC000256072841 |    Q4QBL1   |      8.64     |
| 115  | ZINC000256072846 |    Q4QBL1   |      8.64     |
| 116  | ZINC000256072844 |    Q4QBL1   |      8.64     |
| 117  | ZINC000034176696 |    Q4QBL1   |      8.64     |
| 118  | ZINC000003920028 |    Q4QBL1   |      8.64     |
| 119  | ZINC000072481720 |    Q4QBL1   |      8.64     |
| 120  | ZINC000000002176 |    Q4QBL1   |      8.87     |
| 121  | ZINC000000403609 |    Q4QBL1   |      8.87     |
| 122  | ZINC000003990364 |    Q4QBL1   |      8.91     |
| 123  | ZINC000149738712 |    Q4QBL1   |      9.05     |
| 124  | ZINC000003830916 |    Q4QBL1   |      9.34     |
| 125  | ZINC000096273105 |    Q4QBL1   |      9.34     |
| 126  | ZINC000205341959 |    Q4QBL1   |      9.35     |
| 127  | ZINC000095627836 |    Q4QBL1   |      9.65     |
| 128  | ZINC000100054890 |    Q4QBL1   |      9.88     |
| 129  | ZINC000100054893 |    Q4QBL1   |      9.88     |
| 130  | ZINC000095618855 |    Q4QBL1   |      9.88     |
| 131  | ZINC000013648755 |    Q4QBL1   |     10.19     |
| 132  | ZINC000100037885 |    Q4QBL1   |     10.19     |
| 133  | ZINC000100037890 |    Q4QBL1   |     10.19     |
| 134  | ZINC000040939374 |    Q4QBL1   |     10.37     |
| 135  | ZINC000008552018 |    Q4QBL1   |     10.55     |
| 136  | ZINC000004245650 |    Q4QBL1   |     10.62     |
| 137  | ZINC000005751767 |    Q4QBL1   |     10.78     |
| 138  | ZINC000003927605 |    Q4QBL1   |     10.83     |
| 139  | ZINC000004074875 |    Q4QBL1   |     10.86     |
| 140  | ZINC000004097427 |    Q4QBL1   |     10.86     |
| 141  | ZINC000072316335 |    Q4QBL1   |     10.94     |
| 142  | ZINC000002530707 |    Q4QBL1   |     11.12     |
| 143  | ZINC000006716826 |    Q4QBL1   |     11.24     |
| 144  | ZINC000000003897 |    Q4QBL1   |     11.34     |
| 145  | ZINC000936069425 |    Q4QBL1   |     11.38     |
| 146  | ZINC000003830994 |    Q4QBL1   |     11.43     |
| 147  | ZINC000003830993 |    Q4QBL1   |     11.43     |
| 148  | ZINC000014210457 |    Q4QBL1   |     11.44     |
| 149  | ZINC000014210455 |    Q4QBL1   |     11.44     |
| 150  | ZINC000049937658 |    Q4QBL1   |     11.52     |
| 151  | ZINC000053261548 |    Q4QBL1   |     11.52     |
| 152  | ZINC000008552017 |    Q4QBL1   |     11.95     |
| 153  | ZINC000100018854 |    Q4QBL1   |     12.03     |
| 154  | ZINC000100018852 |    Q4QBL1   |     12.03     |
| 155  | ZINC000000896557 |    Q4QBL1   |     12.03     |
| 156  | ZINC000000896560 |    Q4QBL1   |     12.03     |
| 157  | ZINC000000000347 |    Q4QBL1   |     12.03     |
| 158  | ZINC000028536264 |    Q4QBL1   |     12.15     |
| 159  | ZINC000014974583 |    Q4QBL1   |     12.25     |
| 160  | ZINC000103588732 |    Q4QBL1   |     12.41     |
| 161  | ZINC000102215424 |    Q4QBL1   |     12.41     |
| 162  | ZINC000000006170 |    Q4QBL1   |     12.74     |
| 163  | ZINC000003810905 |    Q4QBL1   |     12.79     |
| 164  | ZINC000005752185 |    Q4QBL1   |     13.00     |
| 165  | ZINC000038811386 |    Q4QBL1   |     13.23     |
| 166  | ZINC000038811387 |    Q4QBL1   |     13.23     |
| 167  | ZINC000043211394 |    Q4QBL1   |     13.29     |
| 168  | ZINC000043211396 |    Q4QBL1   |     13.29     |
| 169  | ZINC000001909562 |    Q4QBL1   |     13.33     |
| 170  | ZINC000095561192 |    Q4QBL1   |     13.34     |
| 171  | ZINC000077301904 |    Q4QBL1   |     13.40     |
| 172  | ZINC000030691750 |    Q4QBL1   |     13.53     |
| 173  | ZINC000033972864 |    Q4QBL1   |     13.71     |
| 174  | ZINC000000001898 |    Q4QBL1   |     14.21     |
| 175  | ZINC000003830842 |    Q4QBL1   |     14.57     |
| 176  | ZINC000000896543 |    Q4QBL1   |     14.57     |
| 177  | ZINC000084610155 |    Q4QBL1   |     14.71     |
