drug,prot,score
ZINC000003808779,O97193,1.54
ZINC000169748244,O15826,1.55
ZINC000256479166,O15826,1.56
ZINC000118915344,O15826,1.56
ZINC000004214473,O15826,1.56
ZINC000256479159,O15826,1.56
ZINC000256479162,O15826,1.56
ZINC000027552910,O15826,1.56
ZINC000100017456,O97193,1.57
ZINC000040430143,Q4QHJ8,1.58
ZINC000100001918,O15826,1.6
ZINC000000607939,O15826,1.6
ZINC000000001676,O15826,1.64
ZINC000068153186,O97193,1.65
ZINC000001999487,O97193,1.66
ZINC000100011067,O97193,1.66
ZINC000000006157,O97193,1.66
ZINC000299817032,O15826,1.66
ZINC000004097225,O97193,1.7
ZINC000004214603,O15826,1.7
ZINC000003938686,O15826,1.71
ZINC000003953037,Q4QHJ8,1.71
ZINC000001530694,O15826,1.73
ZINC000033650458,O15826,1.73
ZINC000003808779,Q4QHJ8,1.73
ZINC000004217580,O15826,1.75
ZINC000000601316,Q4QHJ8,1.76
ZINC000019362693,O15826,1.76
ZINC000003830579,Q4QHJ8,1.76
ZINC000003830916,O97193,1.77
ZINC000003922770,O15826,1.78
ZINC000004074875,O15826,1.8
ZINC000118915336,O97193,1.8
ZINC000118915337,O97193,1.8
ZINC000118915338,O97193,1.8
ZINC000118915339,O97193,1.8
ZINC000000001676,O97193,1.8
ZINC000004097427,O15826,1.8
ZINC000000896560,O15826,1.81
ZINC000002530703,O15826,1.81
ZINC000100018854,O15826,1.81
ZINC000072481720,O15826,1.81
ZINC000003920028,O15826,1.81
ZINC000000896557,O15826,1.81
ZINC000100018852,O15826,1.81
ZINC000034176696,O15826,1.81
ZINC000256072846,O15826,1.81
ZINC000256072844,O15826,1.81
ZINC000256072841,O15826,1.81
ZINC000000000347,O15826,1.81
ZINC000037866091,O15826,1.82
ZINC000003798734,O97193,1.82
ZINC000012496045,O97193,1.82
ZINC000000002276,O15826,1.85
ZINC000000000106,O15826,1.85
ZINC000000601314,O97193,1.85
ZINC000000000855,Q4QHJ8,1.85
