drug,prot,score
ZINC000002016257,Q27686,18445.45
ZINC000002170227,Q6TUJ5,184463.98
ZINC000002170224,Q6TUJ5,184463.98
ZINC000095619101,O97193,18452.25
ZINC000095619100,O97193,18452.25
ZINC000000895032,P48499,18454.62
ZINC000022034381,P48499,18454.68
ZINC000003815424,Q27686,18456.93
ZINC000238730525,O15826,1846.39
ZINC000238730527,O15826,1846.39
ZINC000238730526,O15826,1846.39
ZINC000238730524,O15826,1846.39
ZINC000004654665,O97193,18464.86
ZINC000000057060,Q4QHJ8,18465.59
ZINC000095618600,P48499,18465.87
ZINC000033971074,P48499,18465.87
ZINC000001545566,P48499,18466.64
ZINC000009293928,P48499,18466.64
ZINC000038150745,P48499,184669.06
ZINC000013759728,P48499,184669.06
ZINC000065742834,P48499,184678.59
ZINC000008035268,Q6TUJ5,1847.24
ZINC000003830500,Q6TUJ5,18472.0
ZINC000299818007,Q27686,18474.51
ZINC000299818005,Q27686,18474.51
ZINC000299818006,Q27686,18474.51
ZINC000299818008,Q27686,18474.51
ZINC000000007782,P48499,18476.36
ZINC000003831139,Q4QHJ8,18478.63
ZINC000000006156,Q4QHJ8,18478.63
ZINC000003644762,Q6TUJ5,184792.89
ZINC000001692966,Q6TUJ5,184792.89
ZINC000000129343,O15826,1848.74
ZINC000000000135,O15826,1848.74
ZINC000001567421,O97193,18480.64
ZINC000002011568,O97193,18480.64
ZINC000000538386,P48499,18489.28
ZINC000002008866,P48499,18492.84
ZINC000008214397,Q4QHJ8,18496.92
ZINC000008220828,Q4QHJ8,18496.92
ZINC000003941829,Q4QBL1,185.05
ZINC000003812989,Q27686,185.28
ZINC000037866091,P48499,185.42
ZINC000077287170,O15826,185.45
ZINC000030731160,O15826,185.46
ZINC000030731156,O15826,185.46
ZINC000012494489,Q6TUJ5,185.53
ZINC000004474460,Q6TUJ5,185.53
ZINC000004521924,Q6TUJ5,185.53
ZINC000100051471,Q27686,185.56
ZINC000100051467,Q27686,185.56
ZINC000003812865,O97193,185.9
ZINC000016052277,Q4QBL1,185.92
ZINC000000056653,O15826,185.95
ZINC000000056652,O15826,185.95
ZINC000003871698,O97193,1850.76
ZINC000000402981,P48499,18506.04
ZINC000000000401,P48499,18506.04
ZINC000000402980,P48499,18506.04
ZINC000000402979,P48499,18506.04
ZINC000004097448,P48499,185094.33
ZINC000095618821,P48499,185097.38
ZINC000095618751,Q27686,1851.06
ZINC000000057624,O97193,1851.64
ZINC000037475297,P48499,185194.75
ZINC000003818726,P48499,185244.37
ZINC000001530688,P48499,18526.57
ZINC000005783214,O97193,1853.67
ZINC000022063424,Q6TUJ5,18531.15
ZINC000031259460,Q6TUJ5,18531.15
ZINC000003875993,P48499,18532.66
ZINC000004097413,Q6TUJ5,18534.0
ZINC000169621195,Q6TUJ5,18534.0
ZINC000003872863,Q6TUJ5,18534.0
ZINC000238730561,Q6TUJ5,18534.0
ZINC000238730560,Q6TUJ5,18534.0
ZINC000100038281,Q6TUJ5,18534.0
ZINC000014514079,Q6TUJ5,18534.0
ZINC000169621197,Q6TUJ5,18534.0
ZINC000169621196,Q6TUJ5,18534.0
ZINC000100038287,Q6TUJ5,18534.0
ZINC000004474603,Q6TUJ5,18534.71
ZINC000095617646,Q6TUJ5,18536.16
ZINC000000608205,Q4QHJ8,18537.54
ZINC000003918137,Q27686,185374.18
ZINC000003873832,Q6TUJ5,18542.26
ZINC000150338819,Q4QBL1,1855.1
ZINC000095618804,Q4QBL1,1855.71
ZINC000095618803,Q4QBL1,1855.71
ZINC000000895042,Q4QBL1,1855.9
ZINC000002566542,Q27686,18552.1
ZINC000000000570,P48499,18558.64
ZINC000000896836,P48499,18558.64
ZINC000008101117,Q27686,1856.79
ZINC000008551177,Q27686,1856.79
ZINC000008551179,Q27686,1856.79
ZINC000008101116,Q27686,1856.79
ZINC000008143541,Q27686,1856.79
ZINC000242437512,Q27686,1856.79
ZINC000242437514,Q27686,1856.79
ZINC000008551180,Q27686,1856.79
ZINC000008101114,Q27686,1856.79
ZINC000008551178,Q27686,1856.79
ZINC000242437513,Q27686,1856.79
ZINC000008101115,Q27686,1856.79
ZINC000242437511,Q27686,1856.79
ZINC000261494714,O15826,1856.84
ZINC000261494715,O15826,1856.84
ZINC000261494717,O15826,1856.84
ZINC000118913658,O15826,1856.84
ZINC000261494716,O15826,1856.84
ZINC000077300876,O15826,1856.84
ZINC000034303655,P48499,18566.63
ZINC000002516030,Q6TUJ5,185695.33
ZINC000004257980,Q6TUJ5,185695.33
ZINC000006093932,Q27686,1857.2
ZINC000261494645,Q4QBL1,1857.9
ZINC000261494646,Q4QBL1,1857.9
ZINC000095617647,Q4QBL1,1857.9
ZINC000000020255,Q4QBL1,18572.34
ZINC000006745272,O97193,1858.37
ZINC000082105374,Q6TUJ5,18587.13
ZINC000082105375,Q6TUJ5,18587.13
ZINC000005163012,Q6TUJ5,18587.13
ZINC000082105373,Q6TUJ5,18587.13
ZINC000003872520,Q6TUJ5,185875.14
ZINC000006467621,Q4QBL1,1859.37
ZINC000003981610,Q6TUJ5,1859.39
ZINC000003651516,Q6TUJ5,185957.2
ZINC000003651514,Q6TUJ5,185957.2
ZINC000003651513,Q6TUJ5,185957.2
ZINC000238730526,Q6TUJ5,18599.8
ZINC000238730527,Q6TUJ5,18599.8
ZINC000238730524,Q6TUJ5,18599.8
ZINC000238730525,Q6TUJ5,18599.8
ZINC000095618876,O97193,186.14
ZINC000000608117,O97193,186.23
ZINC000003831578,O97193,186.23
ZINC000001540228,Q4QHJ8,186.27
ZINC000000057255,Q27686,186.52
ZINC000000020253,Q27686,186.52
ZINC000003781951,O15826,186.54
ZINC000001530598,P48499,186.57
ZINC000001530906,P48499,186.6
ZINC000001530907,P48499,186.6
ZINC000000014007,O97193,186.79
ZINC000000113415,O97193,186.79
ZINC000100158533,P48499,186.92
ZINC000100008319,P48499,186.92
ZINC000012503291,P48499,186.92
ZINC000101144764,P48499,186.92
ZINC000100489810,P48499,186.92
ZINC000118915337,Q6TUJ5,186.98
ZINC000118915338,Q6TUJ5,186.98
ZINC000118915336,Q6TUJ5,186.98
ZINC000118915339,Q6TUJ5,186.98
ZINC000000001322,Q27686,1860.1
ZINC000003798757,Q27686,1860.11
ZINC000100008275,Q27686,1860.69
ZINC000000155694,Q27686,1860.69
ZINC000001530303,P48499,18609.22
ZINC000006071738,Q4QHJ8,1861.39
ZINC000006071742,Q4QHJ8,1861.39
ZINC000017971067,O15826,1862.15
ZINC000000895271,O15826,1862.15
ZINC000000001684,O15826,186203.19
ZINC000100003677,Q6TUJ5,18624.16
ZINC000018130447,Q6TUJ5,18624.16
ZINC000100019233,Q6TUJ5,18624.16
ZINC000100003676,Q6TUJ5,18624.16
ZINC000013783495,Q27686,18626.51
ZINC000022066121,P48499,18627.6
ZINC000003938642,Q4QBL1,18629.48
ZINC000095618868,Q6TUJ5,186302.16
ZINC000095618869,Q6TUJ5,186302.16
ZINC000000002264,P48499,18631.59
ZINC000003830938,Q4QBL1,186344.71
ZINC000015848251,Q4QBL1,186344.71
ZINC000015848249,Q4QBL1,186344.71
ZINC000003830940,Q4QBL1,186344.71
ZINC000000000973,Q6TUJ5,18637.07
ZINC000095618671,Q27686,18643.64
ZINC000013783495,P48499,18645.03
ZINC000003871576,Q4QHJ8,18651.73
ZINC000000001982,P48499,18656.52
ZINC000004578995,Q6TUJ5,186570.63
ZINC000000537874,Q6TUJ5,18664.61
ZINC000034608502,P48499,18664.9
ZINC000002570839,P48499,18666.21
ZINC000005841914,P48499,18666.21
ZINC000005360194,Q6TUJ5,1866875.27
ZINC000005888085,P48499,18669.2
ZINC000095618783,O15826,1867.16
ZINC000005167162,O15826,1867.16
ZINC000261494622,O15826,1867.16
ZINC000095618785,O15826,1867.16
ZINC000261494621,O15826,1867.16
ZINC000000403566,Q6TUJ5,1867.46
ZINC000000000655,Q6TUJ5,1867.46
ZINC000001530942,Q4QBL1,1867.66
ZINC000000057734,Q4QBL1,186732.32
ZINC000005785445,Q6TUJ5,186827.37
ZINC000000000747,Q6TUJ5,186827.37
ZINC000030691445,Q6TUJ5,186827.37
ZINC000003831392,Q4QHJ8,186866.86
ZINC000003008621,Q6TUJ5,18689.43
ZINC000001542930,Q6TUJ5,1869.11
ZINC000015831592,Q4QHJ8,1869.13
ZINC000004215548,O15826,1869.83
ZINC000000156530,O97193,18691.21
ZINC000095617673,P48499,18693.86
ZINC000257459143,Q6TUJ5,18694.68
ZINC000257459141,Q6TUJ5,18694.68
ZINC000257459142,Q6TUJ5,18694.68
ZINC000257459140,Q6TUJ5,18694.68
ZINC000000643046,O15826,187.0
ZINC000095618834,Q4QBL1,187.05
ZINC000019144216,Q4QBL1,187.1
ZINC000095618767,O97193,187.25
ZINC000095618768,O97193,187.25
ZINC000261494673,O15826,187.34
ZINC000100054194,O15826,187.34
ZINC000100054201,O15826,187.34
ZINC000261494674,O15826,187.34
ZINC000100054198,O15826,187.34
ZINC000100054205,O15826,187.34
ZINC000261494675,O15826,187.34
ZINC000261494676,O15826,187.34
ZINC000006068249,O15826,187.55
ZINC000006068248,O15826,187.55
ZINC000000057534,Q4QHJ8,187.6
ZINC000005967123,O15826,187.78
ZINC000035342789,O97193,187.93
ZINC000000049142,Q4QHJ8,18702.17
ZINC000002003663,Q6TUJ5,18708.44
ZINC000001535903,Q4QBL1,1871.75
ZINC000015831592,Q4QBL1,1871.87
ZINC000000000294,Q4QHJ8,187123.92
ZINC000000001612,Q4QHJ8,187123.92
ZINC000000001320,Q27686,1872.99
ZINC000000001930,O97193,18724.01
ZINC000095618741,Q6TUJ5,18726.03
ZINC000095618742,Q6TUJ5,18726.03
ZINC000000113439,Q4QBL1,1873.37
ZINC000000105216,Q4QBL1,1873.37
ZINC000001698306,O15826,1873.71
ZINC000018067894,P48499,18735.78
ZINC000000001735,P48499,187423.61
ZINC000034049000,Q6TUJ5,18749.15
ZINC000095618847,P48499,18749.58
ZINC000095618846,P48499,18749.58
ZINC000095618845,P48499,18749.58
ZINC000261494608,P48499,18749.58
ZINC000261494607,P48499,18749.58
ZINC000000001982,O97193,1875.55
ZINC000299872476,Q6TUJ5,1875.7
ZINC000299872475,Q6TUJ5,1875.7
ZINC000299872477,Q6TUJ5,1875.7
ZINC000299872478,Q6TUJ5,1875.7
ZINC000219077158,Q27686,18759.53
ZINC000000001504,O97193,1876.34
ZINC000003779067,Q6TUJ5,18769.21
ZINC000005421253,O15826,1878.21
ZINC000001529425,P48499,18780.94
ZINC000022061261,Q27686,187805.41
ZINC000022061255,Q27686,187805.41
ZINC000022061252,Q27686,187805.41
ZINC000022061258,Q27686,187805.41
ZINC000001854466,Q6TUJ5,18789.56
ZINC000004214738,Q27686,18789.87
ZINC000004228231,Q27686,18789.87
ZINC000021981231,P48499,18794.7
ZINC000021981233,P48499,18794.7
ZINC000001873617,Q27686,18798.62
ZINC000002042694,Q27686,18798.62
ZINC000019890801,P48499,187985.2
ZINC000019890803,P48499,187985.2
ZINC000100051411,Q6TUJ5,18799.18
ZINC000100051415,Q6TUJ5,18799.18
ZINC000100003676,O15826,188.16
ZINC000100019233,O15826,188.16
ZINC000018130447,O15826,188.16
ZINC000100003677,O15826,188.16
ZINC000022001748,O97193,188.21
ZINC000022001761,O97193,188.21
ZINC000022001752,O97193,188.21
ZINC000022001756,O97193,188.21
ZINC000013415989,Q27686,188.22
ZINC000004629876,P48499,188.31
ZINC000004474571,P48499,188.31
ZINC000299818022,Q4QHJ8,188.38
ZINC000299818020,Q4QHJ8,188.38
ZINC000100735958,Q4QHJ8,188.38
ZINC000299818021,Q4QHJ8,188.38
ZINC000095618885,Q4QHJ8,188.42
ZINC000261494602,O97193,188.73
ZINC000100054741,O97193,188.73
ZINC000100054736,O97193,188.73
ZINC000083294652,O97193,188.73
ZINC000005764428,O97193,188.73
ZINC000110344463,O97193,188.73
ZINC000261494604,O97193,188.73
ZINC000261494603,O97193,188.73
ZINC000001588900,Q6TUJ5,188.79
ZINC000022056306,Q6TUJ5,188.79
ZINC000100014947,Q4QHJ8,188.86
ZINC000100014940,Q4QHJ8,188.86
ZINC000100014943,Q4QHJ8,188.86
ZINC000100014950,Q4QHJ8,188.86
ZINC000000001402,Q6TUJ5,188.87
ZINC000002566542,O15826,188.96
ZINC000003938624,Q27686,1880.99
ZINC000000057115,Q6TUJ5,188032.99
ZINC000077312930,P48499,18807.05
ZINC000000001995,Q4QHJ8,1881.24
ZINC000006858022,Q4QHJ8,18814.05
ZINC000000049153,O97193,188163.31
ZINC000001280665,Q6TUJ5,1882.25
ZINC000000000949,Q4QHJ8,1882.28
ZINC000003869657,Q6TUJ5,188219.2
ZINC000000896507,Q27686,18824.83
ZINC000003872317,Q27686,18824.83
ZINC000008383239,Q6TUJ5,188275.63
ZINC000002016032,Q6TUJ5,188275.63
ZINC000003831106,Q4QHJ8,18831.8
ZINC000003831107,Q4QHJ8,18831.8
ZINC000000000746,Q6TUJ5,188341.79
ZINC000000002281,Q6TUJ5,188341.79
ZINC000004658560,O15826,1884.3
ZINC000004658562,O15826,1884.3
ZINC000006071742,Q4QBL1,1884.61
ZINC000006071738,Q4QBL1,1884.61
ZINC000000580890,O97193,1884.91
ZINC000009293928,Q27686,18842.16
ZINC000001545566,Q27686,18842.16
ZINC000003830503,P48499,18848.06
ZINC000085552699,Q6TUJ5,1885.36
ZINC000095862725,Q6TUJ5,1885.36
ZINC000008214629,O97193,1885.58
ZINC000000001927,Q6TUJ5,1885234.39
ZINC000000105196,Q6TUJ5,1885234.39
ZINC000000901061,Q4QBL1,1886.01
ZINC000004095858,Q4QBL1,1886.5
ZINC000003612929,Q27686,1886.99
ZINC000001530688,Q27686,18862.1
ZINC000095588079,Q4QHJ8,18864.58
ZINC000000057501,Q6TUJ5,188659.07
ZINC000001532339,Q6TUJ5,18866.94
ZINC000006846023,Q6TUJ5,18866.94
ZINC000003874496,Q6TUJ5,18871.56
ZINC000169761981,Q4QHJ8,18876.78
ZINC000100054826,Q6TUJ5,18878.71
ZINC000100054828,Q6TUJ5,18878.71
ZINC000008214635,P48499,1888.62
ZINC000005843546,Q4QHJ8,1888.94
ZINC000000896937,Q27686,18884.39
ZINC000000896938,Q27686,18884.39
ZINC000084843283,Q4QHJ8,188841.96
ZINC000000409879,Q4QBL1,188846.72
ZINC000000001195,O97193,1889.4
ZINC000000001427,Q6TUJ5,188925.84
ZINC000000602632,Q4QBL1,189.2
ZINC000001481956,Q4QHJ8,189.3
ZINC000004214700,Q4QHJ8,189.3
ZINC000043206271,O15826,189.33
ZINC000095618887,Q27686,189.56
ZINC000013546731,O15826,189.68
ZINC000003830813,O15826,189.8
ZINC000052716421,O97193,189.86
ZINC000000001624,Q27686,1891.2
ZINC000003831004,Q27686,1891.2
ZINC000003830612,P48499,189139.41
ZINC000003830611,P48499,189139.41
ZINC000000405331,P48499,189139.41
ZINC000008551998,P48499,189139.41
ZINC000000968262,P48499,189139.41
ZINC000008551999,P48499,189139.41
ZINC000000000189,P48499,189139.41
ZINC000008551997,P48499,189139.41
ZINC000004658290,P48499,189193.83
ZINC000000896918,O97193,1892.3
ZINC000005846414,O15826,1892.7
ZINC000000001370,P48499,1892.87
ZINC000242463989,Q4QHJ8,18921.58
ZINC000000003986,Q27686,189244.42
ZINC000002015997,Q27686,189244.42
ZINC000006117169,P48499,18925.14
ZINC000000001342,O97193,1893.11
ZINC000003975663,O97193,1893.24
ZINC000095618750,O97193,1893.33
ZINC000001530756,Q6TUJ5,189319.13
ZINC000016090791,Q4QHJ8,18937.67
ZINC000022053870,Q4QHJ8,18937.67
ZINC000022053867,Q4QHJ8,18937.67
ZINC000085432549,Q6TUJ5,1894.9
ZINC000012859773,O15826,18943.47
ZINC000008220699,O15826,18949.99
ZINC000001482184,Q4QBL1,18955.56
ZINC000003629271,O15826,1896.42
ZINC000002040778,Q4QHJ8,18964.45
ZINC000001530940,Q6TUJ5,189659.29
ZINC000000601305,Q4QHJ8,18967.6
ZINC000000643114,Q4QHJ8,18967.6
ZINC000256315106,O97193,1897.11
ZINC000118913649,O97193,1897.11
ZINC000256315095,O97193,1897.11
ZINC000256315101,O97193,1897.11
ZINC000256315111,O97193,1897.11
ZINC000118913648,O97193,1897.11
ZINC000000020244,Q6TUJ5,18974.03
ZINC000000643114,Q27686,18974.34
ZINC000000601305,Q27686,18974.34
ZINC000095618755,Q6TUJ5,1898.45
ZINC000008466459,O15826,1898.46
ZINC000006021043,O15826,1898.46
ZINC000034108591,P48499,18983.95
ZINC000095618449,Q4QHJ8,189876.82
ZINC000001713761,Q4QHJ8,18988.16
ZINC000005459685,Q4QBL1,1899.16
ZINC000005459684,Q4QBL1,1899.16
ZINC000012503210,Q4QBL1,1899.16
ZINC000253636802,Q4QBL1,1899.16
ZINC000003945984,Q4QBL1,1899.16
ZINC000003812889,P48499,1899.19
ZINC000118913164,P48499,1899.19
ZINC000004096712,P48499,1899.3
ZINC000003861150,Q27686,1899.62
ZINC000000004400,P48499,1899.83
ZINC000002015928,P48499,1899.83
ZINC000003871356,P48499,1899.83
ZINC000019144231,P48499,18990.14
ZINC000019144226,P48499,18990.14
ZINC000013911941,O15826,19.01
ZINC000003977978,O97193,19.01
ZINC000000003876,O15826,19.02
ZINC000003953037,Q6TUJ5,19.05
ZINC000003943279,O97193,19.13
ZINC000100037971,O97193,19.16
ZINC000100037964,O97193,19.16
ZINC000029338422,O97193,19.16
ZINC000003972949,O97193,19.16
ZINC000239165119,O97193,19.17
ZINC000239165118,O97193,19.17
ZINC000239165120,O97193,19.17
ZINC000239165117,O97193,19.17
ZINC000008214692,O97193,19.17
ZINC000019632718,Q4QBL1,19.19
ZINC000019632713,Q4QBL1,19.19
ZINC000253535680,O15826,19.23
ZINC000096030444,O15826,19.23
ZINC000001481841,O15826,19.23
ZINC000011680067,O15826,19.23
ZINC000253617657,O15826,19.23
ZINC000003941496,O97193,19.24
ZINC000004214799,O15826,19.31
ZINC000101104601,O15826,19.31
ZINC000012503317,O15826,19.31
ZINC000013704173,O15826,19.31
ZINC000100089496,O15826,19.35
ZINC000000586239,O15826,19.35
ZINC000255984290,O97193,19.45
ZINC000255984289,O97193,19.45
ZINC000255984288,O97193,19.45
ZINC000065749696,O97193,19.45
ZINC000065749697,O97193,19.45
ZINC000255984291,O97193,19.45
ZINC000014263142,O15826,19.58
ZINC000008214360,O15826,19.58
ZINC000100353857,O15826,19.58
ZINC000100353864,O15826,19.58
ZINC000008214363,O15826,19.58
ZINC000003814360,Q4QBL1,19.6
ZINC000012504523,O15826,19.61
ZINC000118913726,O15826,19.61
ZINC000150338699,Q4QBL1,19.67
ZINC000005850754,O15826,19.68
ZINC000002572820,O97193,19.72
ZINC000095618756,O97193,19.72
ZINC000077293241,O97193,19.72
ZINC000936069565,Q4QBL1,19.73
ZINC000164528615,Q4QBL1,19.73
ZINC000006067922,O15826,19.74
ZINC000006067936,O15826,19.74
ZINC000003875039,O97193,19.75
ZINC000095618775,O15826,19.77
ZINC000026892643,Q4QHJ8,19.78
ZINC000118915228,Q4QHJ8,19.84
ZINC000118915227,Q4QHJ8,19.84
ZINC000118915229,Q4QHJ8,19.84
ZINC000118915230,Q4QHJ8,19.84
ZINC000261494696,Q4QHJ8,19.84
ZINC000095618870,Q4QHJ8,19.84
ZINC000261494697,Q4QHJ8,19.84
ZINC000003920027,Q4QBL1,19.89
ZINC000013674440,Q4QHJ8,19.93
ZINC000049013803,Q4QHJ8,19.93
ZINC000077287124,O15826,19.95
ZINC000004026419,O97193,19.97
ZINC000001319780,O15826,19.99
ZINC000022060709,O15826,190.05
ZINC000022060707,O15826,190.05
ZINC000001530636,Q4QBL1,190.2
ZINC000008219992,Q4QBL1,190.54
ZINC000003778874,O15826,190.6
ZINC000000538362,Q27686,190.69
ZINC000148723177,Q6TUJ5,190.77
ZINC000002040609,Q4QBL1,190.89
ZINC000003806413,O15826,190.91
ZINC000005513516,Q27686,1900.08
ZINC000005513519,Q27686,1900.08
ZINC000002007778,Q27686,1900.08
ZINC000005513518,Q27686,1900.08
ZINC000002007776,Q27686,1900.08
ZINC000002007774,Q27686,1900.08
ZINC000002007775,Q27686,1900.08
ZINC000005513515,Q27686,1900.08
ZINC000000020235,Q4QHJ8,1900.81
ZINC000001869694,Q4QHJ8,1900.81
ZINC000000039089,Q6TUJ5,19008.75
ZINC000004217252,P48499,1901.13
ZINC000000113355,P48499,190137.59
ZINC000000057412,Q27686,19014.7
ZINC000169743678,P48499,190183.01
ZINC000000007563,Q27686,1903.45
ZINC000004365621,Q4QHJ8,19031.58
ZINC000003821675,Q27686,19034.44
ZINC000000007601,P48499,19036.44
ZINC000000020230,P48499,19036.44
ZINC000003798745,Q6TUJ5,190374.27
ZINC000002578897,P48499,19038.58
ZINC000005838789,P48499,19038.58
ZINC000085537078,P48499,1904.83
ZINC000001544683,Q6TUJ5,19045.35
ZINC000000001885,Q4QBL1,190461.87
ZINC000003815418,Q27686,1905.48
ZINC000003872492,Q27686,1905.48
ZINC000003872494,Q27686,1905.48
ZINC000003872491,Q27686,1905.48
ZINC000003872493,Q27686,1905.48
ZINC000011677857,Q27686,1905.6
ZINC000008214587,Q6TUJ5,19050.79
ZINC000000001706,P48499,190509.03
ZINC000003872055,Q6TUJ5,19054.39
ZINC000003978083,P48499,190556.42
ZINC000013986658,Q6TUJ5,19072.85
ZINC000001873938,P48499,19074.1
ZINC000004215648,Q6TUJ5,1908.08
ZINC000000895030,Q6TUJ5,19080.45
ZINC000001530806,P48499,19081.1
ZINC000001530805,P48499,19081.1
ZINC000095618750,Q6TUJ5,19085.08
ZINC000000001460,Q6TUJ5,19089.65
ZINC000095617647,Q4QHJ8,1909.7
ZINC000261494645,Q4QHJ8,1909.7
ZINC000261494646,Q4QHJ8,1909.7
ZINC000000049151,O15826,1909.87
ZINC000001532530,Q6TUJ5,19092.58
ZINC000001532678,Q6TUJ5,19092.58
ZINC000000037293,Q27686,19095.35
ZINC000001481993,O97193,19097.74
ZINC000022059930,O97193,191.08
ZINC000022059926,O97193,191.08
ZINC000005140767,O97193,191.29
ZINC000003873817,O15826,191.4
ZINC000001850625,O15826,191.42
ZINC000001850623,O15826,191.42
ZINC000256015224,O15826,191.69
ZINC000256015222,O15826,191.69
ZINC000256015225,O15826,191.69
ZINC000256015223,O15826,191.69
ZINC000000404160,Q27686,191.74
ZINC000100013130,O15826,191.76
ZINC000003917722,O15826,191.79
ZINC000003807172,O15826,191.79
ZINC000013546270,O15826,191.8
ZINC000085537068,O97193,191.86
ZINC000053174604,O15826,191.87
ZINC000003831128,O97193,191.88
ZINC000100018867,P48499,19103.11
ZINC000000394355,Q4QBL1,191030.06
ZINC000000000615,Q4QBL1,191030.06
ZINC000000896484,O97193,19107.96
ZINC000001540998,O97193,1911.02
ZINC000001851132,O97193,1911.02
ZINC000003830706,Q4QHJ8,191120.06
ZINC000000608220,P48499,19113.1
ZINC000000607790,Q6TUJ5,1912.49
ZINC000000621853,Q6TUJ5,1912.49
ZINC000005187769,O97193,1912.55
ZINC000000402981,Q4QHJ8,19125.52
ZINC000000402979,Q4QHJ8,19125.52
ZINC000000402980,Q4QHJ8,19125.52
ZINC000000000401,Q4QHJ8,19125.52
ZINC000085427689,Q27686,19126.32
ZINC000000001885,O97193,191280.65
ZINC000003589203,O15826,1913.26
ZINC000000105216,Q4QHJ8,1913.97
ZINC000000113439,Q4QHJ8,1913.97
ZINC000013973998,P48499,191302.5
ZINC000001554010,P48499,191302.5
ZINC000013827856,Q4QBL1,19131.22
ZINC000013827859,Q4QBL1,19131.22
ZINC000000001522,P48499,19133.34
ZINC000242701441,P48499,19133.34
ZINC000002001181,Q4QBL1,191330.85
ZINC000002001180,Q4QBL1,191330.85
ZINC000100907004,Q27686,1914.58
ZINC000014953365,Q27686,19142.75
ZINC000000001899,P48499,19142.77
ZINC000096077887,O97193,1915.12
ZINC000033994719,O97193,1915.12
ZINC000000001041,Q4QHJ8,19153.09
ZINC000000066064,Q4QBL1,191687.26
ZINC000005837443,P48499,19172.98
ZINC000002570844,P48499,19172.98
ZINC000003882034,Q4QHJ8,19173.21
ZINC000095618558,Q4QBL1,19175.65
ZINC000095618557,Q4QBL1,19175.65
ZINC000001529592,O15826,19177.78
ZINC000003831139,Q27686,19178.18
ZINC000000006156,Q27686,19178.18
ZINC000001537194,P48499,19178.3
ZINC000034602275,P48499,1918.28
ZINC000003875560,Q27686,1919.07
ZINC000005921967,O97193,1919.34
ZINC000005924345,O97193,1919.34
ZINC000005924342,O97193,1919.34
ZINC000005921965,O97193,1919.34
ZINC000001895505,Q4QBL1,1919.61
ZINC000100038546,Q4QHJ8,1919.64
ZINC000001530762,P48499,19191.39
ZINC000000507462,P48499,19191.87
ZINC000000507461,P48499,19191.87
ZINC000009293928,Q4QHJ8,19192.71
ZINC000001545566,Q4QHJ8,19192.71
ZINC000003871960,O15826,192.26
ZINC000003876078,Q4QHJ8,192.4
ZINC000022059617,O97193,192.44
ZINC000001530775,O97193,192.5
ZINC000001812122,O97193,192.61
ZINC000001812123,O97193,192.61
ZINC000012484965,P48499,192.67
ZINC000000005191,Q4QBL1,1920.11
ZINC000003916214,O97193,1920.91
ZINC000003875336,P48499,1921.44
ZINC000001532673,O97193,1921.65
ZINC000002380356,O15826,1921.72
ZINC000003598263,Q6TUJ5,192131.12
ZINC000003830943,Q27686,1922.08
ZINC000003830944,Q27686,1922.08
ZINC000085540219,Q27686,1922.08
ZINC000085540215,Q27686,1922.08
ZINC000003830945,Q27686,1922.08
ZINC000003830946,Q27686,1922.08
ZINC000150339323,Q27686,1922.08
ZINC000008035377,Q27686,1922.08
ZINC000008214418,Q27686,1922.08
ZINC000085540223,Q27686,1922.08
ZINC000100051669,O97193,19223.97
ZINC000100051666,O97193,19223.97
ZINC000009232411,P48499,19228.4
ZINC000008214535,Q4QHJ8,19234.02
ZINC000011616759,Q4QHJ8,19235.71
ZINC000001530710,Q6TUJ5,192370.59
ZINC000001530820,Q4QHJ8,1924.34
ZINC000095618671,O15826,1924.57
ZINC000000057417,Q6TUJ5,192441.15
ZINC000003993855,Q27686,19249.69
ZINC000001530716,Q4QBL1,19249.69
ZINC000000043478,O97193,1925.83
ZINC000004474564,Q4QHJ8,19250.56
ZINC000100735958,P48499,1926.07
ZINC000299818021,P48499,1926.07
ZINC000299818020,P48499,1926.07
ZINC000299818022,P48499,1926.07
ZINC000000622123,Q4QHJ8,1926.84
ZINC000002040985,P48499,19260.96
ZINC000002040984,P48499,19260.96
ZINC000002040986,P48499,19260.96
ZINC000002040987,P48499,19260.96
ZINC000002005072,Q4QBL1,192600.64
ZINC000000004942,Q4QBL1,192600.64
ZINC000005768112,Q4QHJ8,19263.92
ZINC000004658552,O15826,1927.01
ZINC000006067779,Q4QBL1,1927.39
ZINC000022055046,Q6TUJ5,192705.87
ZINC000003805768,Q4QBL1,19272.17
ZINC000002034893,Q6TUJ5,1927536.93
ZINC000000000038,Q6TUJ5,1927536.93
ZINC000299818012,Q27686,19278.84
ZINC000004083606,Q4QBL1,1928.5
ZINC000003776970,Q4QBL1,1928.68
ZINC000004474443,Q4QBL1,1928.68
ZINC000033506024,P48499,192838.37
ZINC000000013156,Q4QHJ8,19284.75
ZINC000001530599,Q27686,19286.76
ZINC000040899447,Q4QBL1,19288.96
ZINC000022446685,Q4QBL1,19292.14
ZINC000002001740,O97193,193.09
ZINC000095618614,Q4QBL1,193.13
ZINC000038929225,P48499,193.21
ZINC000038929224,P48499,193.21
ZINC000001078624,O15826,193.26
ZINC000013520633,O97193,193.32
ZINC000004576931,O97193,193.32
ZINC000004576930,O97193,193.32
ZINC000016951989,O97193,193.32
ZINC000071758443,O97193,193.32
ZINC000013520637,O97193,193.32
ZINC000077291461,O15826,193.45
