+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
| 122  |  id-1434  |    Q27686   |     42.44     |
| 123  |  id-4947  |    Q27686   |     42.52     |
| 124  |  id-2869  |    Q27686   |     42.67     |
| 125  |   id-433  |    Q27686   |     42.77     |
| 126  |   id-793  |    Q27686   |     42.97     |
| 127  |   id-383  |    Q27686   |     43.78     |
| 128  |  id-4660  |    Q27686   |     43.79     |
| 129  |  id-3300  |    Q27686   |     44.22     |
| 130  |  id-3231  |    Q27686   |     44.27     |
| 131  |  id-2733  |    Q27686   |     44.38     |
| 132  |  id-4357  |    Q27686   |     44.54     |
| 133  |  id-1476  |    Q27686   |     44.76     |
| 134  |  id-4673  |    Q27686   |     44.94     |
| 135  |  id-1216  |    Q27686   |     45.08     |
| 136  |  id-3502  |    Q27686   |     45.12     |
| 137  |  id-1303  |    Q27686   |     45.35     |
| 138  |    id-5   |    Q27686   |     45.43     |
| 139  |  id-1909  |    Q27686   |     45.43     |
| 140  |  id-5381  |    Q27686   |     45.68     |
| 141  |  id-5358  |    Q27686   |     45.97     |
| 142  |   id-336  |    Q27686   |     46.10     |
| 143  |  id-3209  |    Q27686   |     46.20     |
| 144  |  id-5005  |    Q27686   |     46.28     |
| 145  |   id-981  |    Q27686   |     46.69     |
| 146  |   id-230  |    Q27686   |     47.15     |
| 147  |  id-1120  |    Q27686   |     47.16     |
| 148  |  id-1631  |    Q27686   |     48.11     |
| 149  |  id-2840  |    Q27686   |     48.26     |
| 150  |  id-5098  |    Q27686   |     48.36     |
| 151  |   id-837  |    Q27686   |     48.60     |
| 152  |  id-4485  |    Q27686   |     49.09     |
| 153  |   id-409  |    Q27686   |     49.95     |
| 154  |  id-2367  |    Q27686   |     50.24     |
| 155  |  id-4897  |    Q27686   |     50.28     |
| 156  |  id-3553  |    Q27686   |     50.47     |
| 157  |   id-761  |    Q27686   |     50.50     |
| 158  |  id-4939  |    Q27686   |     50.56     |
| 159  |   id-243  |    Q27686   |     50.78     |
| 160  |  id-4749  |    Q27686   |     50.91     |
| 161  |   id-365  |    Q27686   |     51.01     |
| 162  |   id-446  |    Q27686   |     51.08     |
| 163  |  id-4554  |    Q27686   |     52.05     |
| 164  |   id-642  |    Q27686   |     52.71     |
| 165  |  id-3746  |    Q27686   |     53.64     |
| 166  |  id-4833  |    Q27686   |     53.95     |
| 167  |  id-2371  |    Q27686   |     53.95     |
| 168  |  id-1819  |    Q27686   |     54.26     |
| 169  |  id-4452  |    Q27686   |     54.47     |
| 170  |  id-1635  |    Q27686   |     54.61     |
| 171  |   id-130  |    Q27686   |     55.62     |
| 172  |  id-1102  |    Q27686   |     55.82     |
| 173  |   id-214  |    Q27686   |     56.17     |
| 174  |  id-4993  |    Q27686   |     56.89     |
| 175  |  id-2838  |    Q27686   |     57.07     |
| 176  |  id-5349  |    Q27686   |     57.79     |
| 177  |  id-3616  |    Q27686   |     58.40     |
| 178  |  id-1639  |    Q27686   |     58.65     |
| 179  |  id-3871  |    Q27686   |     59.13     |
| 180  |  id-5233  |    Q27686   |     59.43     |
| 181  |  id-3141  |    Q27686   |     59.86     |
| 182  |   id-681  |    Q27686   |     60.04     |
| 183  |   id-957  |    Q27686   |     60.15     |
| 184  |  id-2228  |    Q27686   |     60.82     |
| 185  |  id-3142  |    Q27686   |     60.87     |
| 186  |  id-5390  |    Q27686   |     60.89     |
| 187  |  id-5201  |    Q27686   |     60.92     |
| 188  |  id-4727  |    Q27686   |     61.22     |
| 189  |  id-4606  |    Q27686   |     61.22     |
| 190  |  id-4119  |    Q27686   |     61.27     |
| 191  |  id-1893  |    Q27686   |     61.31     |
| 192  |   id-926  |    Q27686   |     61.35     |
| 193  |   id-923  |    Q27686   |     61.57     |
| 194  |  id-4802  |    Q27686   |     61.82     |
| 195  |  id-2581  |    Q27686   |     61.97     |
| 196  |  id-3611  |    Q27686   |     62.41     |
| 197  |  id-2677  |    Q27686   |     62.59     |
| 198  |   id-522  |    Q27686   |     62.88     |
| 199  |  id-3093  |    Q27686   |     63.13     |
| 200  |  id-4875  |    Q27686   |     63.32     |
| 201  |  id-4366  |    Q27686   |     63.40     |
| 202  |  id-1103  |    Q27686   |     63.57     |
| 203  |  id-2831  |    Q27686   |     64.58     |
| 204  |  id-1604  |    Q27686   |     64.91     |
| 205  |  id-3292  |    Q27686   |     65.28     |
| 206  |   id-646  |    Q27686   |     65.32     |
| 207  |  id-2156  |    Q27686   |     67.30     |
| 208  |  id-2119  |    Q27686   |     67.98     |
| 209  |  id-1797  |    Q27686   |     68.20     |
| 210  |  id-2325  |    Q27686   |     68.69     |
| 211  |  id-1346  |    Q27686   |     68.91     |
| 212  |   id-610  |    Q27686   |     69.29     |
| 213  |   id-345  |    Q27686   |     69.61     |
| 214  |  id-4226  |    Q27686   |     70.00     |
| 215  |  id-1222  |    Q27686   |     71.16     |
| 216  |  id-1958  |    Q27686   |     71.53     |
| 217  |  id-2413  |    Q27686   |     72.03     |
| 218  |  id-1032  |    Q27686   |     72.39     |
| 219  |  id-4004  |    Q27686   |     73.21     |
| 220  |  id-1757  |    Q27686   |     73.38     |
| 221  |  id-2561  |    Q27686   |     74.01     |
| 222  |   id-777  |    Q27686   |     74.75     |
| 223  |  id-3520  |    Q27686   |     75.00     |
| 224  |  id-1475  |    Q27686   |     75.48     |
| 225  |  id-5291  |    Q27686   |     75.70     |
| 226  |   id-760  |    Q27686   |     75.90     |
| 227  |  id-4401  |    Q27686   |     78.24     |
| 228  |  id-5289  |    Q27686   |     78.25     |
| 229  |  id-1640  |    Q27686   |     78.63     |
| 230  |  id-4507  |    Q27686   |     79.82     |
| 231  |  id-3606  |    Q27686   |     80.02     |
| 232  |   id-390  |    Q27686   |     80.52     |
| 233  |  id-2481  |    Q27686   |     80.62     |
| 234  |  id-1204  |    Q27686   |     80.84     |
| 235  |  id-2333  |    Q27686   |     81.03     |
| 236  |  id-3523  |    Q27686   |     81.22     |
| 237  |  id-4546  |    Q27686   |     81.70     |
| 238  |  id-5260  |    Q27686   |     82.39     |
| 239  |  id-5145  |    Q27686   |     82.95     |
| 240  |  id-1508  |    Q27686   |     84.15     |
| 241  |  id-2722  |    Q27686   |     84.15     |
| 242  |  id-3862  |    Q27686   |     84.15     |
| 243  |  id-5256  |    Q27686   |     84.81     |
| 244  |  id-1483  |    Q27686   |     86.33     |
| 245  |  id-2372  |    Q27686   |     86.53     |
| 246  |  id-5046  |    Q27686   |     87.05     |
| 247  |  id-1201  |    Q27686   |     87.69     |
| 248  |  id-1057  |    Q27686   |     87.81     |
| 249  |   id-137  |    Q27686   |     87.92     |
| 250  |  id-1279  |    Q27686   |     88.54     |
| 251  |  id-1783  |    Q27686   |     89.65     |
| 252  |   id-247  |    Q27686   |     89.70     |
| 253  |  id-1889  |    Q27686   |     90.37     |
| 254  |   id-904  |    Q27686   |     90.79     |
| 255  |  id-1167  |    Q27686   |     91.22     |
| 256  |  id-1352  |    Q27686   |     92.61     |
| 257  |  id-5305  |    Q27686   |     93.33     |
| 258  |  id-1406  |    Q27686   |     93.50     |
| 259  |  id-1146  |    Q27686   |     93.91     |
| 260  |   id-464  |    Q27686   |     94.35     |
| 261  |  id-2474  |    Q27686   |     95.11     |
| 262  |   id-466  |    Q27686   |     95.72     |
| 263  |   id-814  |    Q27686   |     96.12     |
| 264  |  id-4808  |    Q27686   |     97.15     |
| 265  |  id-1217  |    Q27686   |     97.39     |
| 266  |   id-458  |    Q27686   |     97.61     |
| 267  |  id-1255  |    Q27686   |     97.64     |
| 268  |  id-1206  |    Q27686   |     97.65     |
| 269  |  id-1743  |    Q27686   |     97.71     |
| 270  |  id-1084  |    Q27686   |     97.93     |
| 271  |  id-2607  |    Q27686   |     98.52     |
| 272  |  id-1304  |    Q27686   |     99.13     |
| 273  |  id-4223  |    Q27686   |     99.20     |
| 274  |  id-2032  |    Q27686   |     99.59     |
| 275  |  id-2424  |    Q27686   |     99.68     |
| 276  |  id-2163  |    Q27686   |     99.83     |
| 277  |   id-730  |    Q27686   |     99.85     |
| 278  |  id-4651  |    Q27686   |     99.85     |
| 279  |   id-129  |    Q27686   |     100.09    |
| 280  |  id-1198  |    Q27686   |     100.89    |
| 281  |  id-1879  |    Q27686   |     101.50    |
| 282  |  id-3406  |    Q27686   |     101.60    |
| 283  |  id-2022  |    Q27686   |     102.81    |
| 284  |  id-3579  |    Q27686   |     103.06    |
| 285  |  id-3095  |    Q27686   |     103.89    |
| 286  |  id-2611  |    Q27686   |     104.54    |
| 287  |  id-1481  |    Q27686   |     105.16    |
| 288  |  id-4329  |    Q27686   |     105.53    |
| 289  |  id-4535  |    Q27686   |     105.55    |
| 290  |  id-1089  |    Q27686   |     106.25    |
| 291  |  id-4810  |    Q27686   |     106.68    |
| 292  |  id-5133  |    Q27686   |     106.86    |
| 293  |  id-2111  |    Q27686   |     109.52    |
| 294  |   id-487  |    Q27686   |     109.75    |
| 295  |  id-4151  |    Q27686   |     109.97    |
| 296  |  id-1572  |    Q27686   |     113.28    |
| 297  |  id-1962  |    Q27686   |     113.28    |
| 298  |   id-779  |    Q27686   |     114.53    |
| 299  |  id-1422  |    Q27686   |     114.90    |
| 300  |   id-468  |    Q27686   |     116.98    |
| 301  |  id-3356  |    Q27686   |     116.98    |
| 302  |   id-213  |    Q27686   |     118.71    |
| 303  |  id-1734  |    Q27686   |     118.86    |
| 304  |  id-3390  |    Q27686   |     119.02    |
| 305  |  id-2103  |    Q27686   |     120.56    |
| 306  |  id-2492  |    Q27686   |     120.73    |
| 307  |  id-1327  |    Q27686   |     121.61    |
| 308  |  id-5307  |    Q27686   |     122.04    |
| 309  |   id-491  |    Q27686   |     123.04    |
| 310  |  id-1970  |    Q27686   |     123.15    |
| 311  |  id-2571  |    Q27686   |     124.88    |
| 312  |  id-1779  |    Q27686   |     126.87    |
| 313  |  id-1733  |    Q27686   |     127.37    |
| 314  |  id-4832  |    Q27686   |     127.59    |
| 315  |  id-4322  |    Q27686   |     128.46    |
| 316  |  id-2999  |    Q27686   |     129.32    |
| 317  |  id-3429  |    Q27686   |     130.54    |
| 318  |  id-4721  |    Q27686   |     131.21    |
| 319  |  id-1961  |    Q27686   |     131.38    |
| 320  |  id-2396  |    Q27686   |     132.93    |
