,ZINC000029136020,ZINC000095561192,ZINC000011677911,ZINC000012503187,ZINC000100013130,ZINC000003930598,ZINC000003937143
ZINC000029136020,0.0,1.80801036064332,5.3283823540098965,3.313418551007787,2.615422400038154,1.8024565749346515,0.3598623422274304
ZINC000095561192,1.80801036064332,0.0,3.8605651338874343,3.29228502735647,2.593167779103471,2.647259537722473,1.830514811620687
ZINC000011677911,5.3283823540098965,3.8605651338874343,0.0,5.301985737216373,5.240111266730777,5.981814480489017,5.330738341684938
ZINC000012503187,3.313418551007787,3.29228502735647,5.301985737216373,0.0,1.1191253213097847,2.219306878910774,3.2844296752357134
ZINC000100013130,2.615422400038154,2.593167779103471,5.240111266730777,1.1191253213097847,0.0,1.4163887542918085,2.6484511648142366
ZINC000003930598,1.8024565749346515,2.647259537722473,5.981814480489017,2.219306878910774,1.4163887542918085,0.0,1.84657489457638
ZINC000003937143,0.3598623422274304,1.830514811620687,5.330738341684938,3.2844296752357134,2.6484511648142366,1.84657489457638,0.0
