+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
| 113  | ZINC000000000509 |    P48499   |     86.03     |
| 114  | ZINC000150338699 |    P48499   |     88.35     |
| 115  | ZINC000019632718 |    P48499   |     88.53     |
| 116  | ZINC000019632713 |    P48499   |     88.53     |
| 117  | ZINC000169748244 |    P48499   |     88.84     |
| 118  | ZINC000936069565 |    P48499   |     89.78     |
| 119  | ZINC000164528615 |    P48499   |     89.78     |
| 120  | ZINC000003814360 |    P48499   |     90.38     |
| 121  | ZINC000003920027 |    P48499   |     92.01     |
| 122  | ZINC000035801098 |    P48499   |     93.14     |
| 123  | ZINC000021981258 |    P48499   |     93.46     |
| 124  | ZINC000021981256 |    P48499   |     93.46     |
| 125  | ZINC000003929508 |    P48499   |     93.53     |
| 126  | ZINC000001853550 |    P48499   |     94.46     |
| 127  | ZINC000038141706 |    P48499   |     94.54     |
| 128  | ZINC000038141705 |    P48499   |     94.54     |
| 129  | ZINC000000001395 |    P48499   |     95.70     |
| 130  | ZINC000001997240 |    P48499   |     95.70     |
| 131  | ZINC000100378061 |    P48499   |     96.43     |
| 132  | ZINC000003992480 |    P48499   |     96.77     |
| 133  | ZINC000003830820 |    P48499   |     97.08     |
| 134  | ZINC000095618739 |    P48499   |     97.48     |
| 135  | ZINC000095618740 |    P48499   |     97.48     |
| 136  | ZINC000021981254 |    P48499   |     98.15     |
| 137  | ZINC000021981252 |    P48499   |     98.15     |
| 138  | ZINC000025757754 |    P48499   |     98.43     |
| 139  | ZINC000000968338 |    P48499   |     101.28    |
| 140  | ZINC000000968340 |    P48499   |     101.28    |
| 141  | ZINC000004097440 |    P48499   |     101.34    |
| 142  | ZINC000012503162 |    P48499   |     101.34    |
| 143  | ZINC000095618655 |    P48499   |     103.57    |
| 144  | ZINC000095618656 |    P48499   |     103.57    |
| 145  | ZINC000033650458 |    P48499   |     104.01    |
| 146  | ZINC000100016084 |    P48499   |     104.83    |
| 147  | ZINC000012503068 |    P48499   |     104.83    |
| 148  | ZINC000100018594 |    P48499   |     104.83    |
| 149  | ZINC000100018598 |    P48499   |     104.83    |
| 150  | ZINC000100371992 |    P48499   |     104.83    |
| 151  | ZINC000002530703 |    P48499   |     105.59    |
| 152  | ZINC000000005994 |    P48499   |     105.82    |
| 153  | ZINC000022064224 |    P48499   |     107.13    |
| 154  | ZINC000248022807 |    P48499   |     107.13    |
| 155  | ZINC000248022822 |    P48499   |     107.13    |
| 156  | ZINC000248022819 |    P48499   |     107.13    |
| 157  | ZINC000248022825 |    P48499   |     107.13    |
| 158  | ZINC000022064220 |    P48499   |     107.13    |
| 159  | ZINC000013520815 |    P48499   |     109.39    |
| 160  | ZINC000003983936 |    P48499   |     110.63    |
| 161  | ZINC000005752191 |    P48499   |     110.63    |
| 162  | ZINC000084403367 |    P48499   |     110.87    |
| 163  | ZINC000100001908 |    P48499   |     110.87    |
| 164  | ZINC000003938686 |    P48499   |     111.87    |
| 165  | ZINC000251257402 |    P48499   |     115.28    |
| 166  | ZINC000000898188 |    P48499   |     115.28    |
| 167  | ZINC000014880007 |    P48499   |     115.28    |
| 168  | ZINC000008220548 |    P48499   |     115.28    |
| 169  | ZINC000261515676 |    P48499   |     115.28    |
| 170  | ZINC000253387331 |    P48499   |     115.28    |
| 171  | ZINC000106400715 |    P48499   |     115.28    |
| 172  | ZINC000003918453 |    P48499   |     115.35    |
| 173  | ZINC000118913630 |    P48499   |     115.40    |
| 174  | ZINC000008234190 |    P48499   |     115.40    |
| 175  | ZINC000030691420 |    P48499   |     116.56    |
| 176  | ZINC000001530694 |    P48499   |     121.21    |
| 177  | ZINC000049013803 |    P48499   |     121.69    |
| 178  | ZINC000013674440 |    P48499   |     121.69    |
| 179  | ZINC000198970879 |    P48499   |     122.20    |
| 180  | ZINC000019362693 |    P48499   |     123.29    |
| 181  | ZINC000026892643 |    P48499   |     124.10    |
| 182  | ZINC000012404516 |    P48499   |     124.96    |
| 183  | ZINC000006117751 |    P48499   |     125.99    |
| 184  | ZINC000006117750 |    P48499   |     125.99    |
| 185  | ZINC000003875387 |    P48499   |     126.17    |
| 186  | ZINC000030691727 |    P48499   |     126.37    |
| 187  | ZINC000030691722 |    P48499   |     126.37    |
| 188  | ZINC000019701765 |    P48499   |     129.93    |
| 189  | ZINC000030731089 |    P48499   |     130.32    |
| 190  | ZINC000044699444 |    P48499   |     130.32    |
| 191  | ZINC000118915336 |    P48499   |     131.31    |
| 192  | ZINC000118915337 |    P48499   |     131.31    |
| 193  | ZINC000118915338 |    P48499   |     131.31    |
| 194  | ZINC000118915339 |    P48499   |     131.31    |
| 195  | ZINC000018324776 |    P48499   |     131.71    |
| 196  | ZINC000004097438 |    P48499   |     132.11    |
| 197  | ZINC000004097439 |    P48499   |     132.11    |
| 198  | ZINC000013763987 |    P48499   |     132.45    |
| 199  | ZINC000021981454 |    P48499   |     133.72    |
| 200  | ZINC000001599730 |    P48499   |     134.45    |
| 201  | ZINC000001599729 |    P48499   |     134.45    |
| 202  | ZINC000000049583 |    P48499   |     134.45    |
| 203  | ZINC000003831012 |    P48499   |     135.63    |
| 204  | ZINC000004654793 |    P48499   |     136.12    |
| 205  | ZINC000003921872 |    P48499   |     136.12    |
| 206  | ZINC000008143796 |    P48499   |     136.19    |
| 207  | ZINC000100042076 |    P48499   |     137.66    |
| 208  | ZINC000100009278 |    P48499   |     137.66    |
| 209  | ZINC000100009280 |    P48499   |     137.66    |
| 210  | ZINC000003831582 |    P48499   |     137.95    |
| 211  | ZINC000003831581 |    P48499   |     137.95    |
| 212  | ZINC000003831584 |    P48499   |     137.95    |
