+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
| 110  |  id-3341  |    Q4QBL1   |     30.29     |
| 111  |  id-3300  |    Q4QBL1   |     30.33     |
| 112  |   id-433  |    Q4QBL1   |     30.50     |
| 113  |  id-2733  |    Q4QBL1   |     30.55     |
| 114  |   id-260  |    Q4QBL1   |     30.55     |
| 115  |  id-1402  |    Q4QBL1   |     30.55     |
| 116  |   id-383  |    Q4QBL1   |     30.61     |
| 117  |  id-4749  |    Q4QBL1   |     30.63     |
| 118  |  id-4673  |    Q4QBL1   |     30.70     |
| 119  |  id-4660  |    Q4QBL1   |     31.02     |
| 120  |   id-465  |    Q4QBL1   |     31.03     |
| 121  |  id-1858  |    Q4QBL1   |     31.10     |
| 122  |  id-3331  |    Q4QBL1   |     31.14     |
| 123  |   id-320  |    Q4QBL1   |     31.17     |
| 124  |   id-336  |    Q4QBL1   |     31.40     |
| 125  |  id-1616  |    Q4QBL1   |     31.76     |
| 126  |  id-1261  |    Q4QBL1   |     31.87     |
| 127  |  id-5217  |    Q4QBL1   |     31.89     |
| 128  |  id-2809  |    Q4QBL1   |     32.09     |
| 129  |  id-4357  |    Q4QBL1   |     32.52     |
| 130  |  id-2752  |    Q4QBL1   |     32.54     |
| 131  |  id-1434  |    Q4QBL1   |     32.75     |
| 132  |  id-5306  |    Q4QBL1   |     32.86     |
| 133  |  id-4947  |    Q4QBL1   |     32.88     |
| 134  |  id-3502  |    Q4QBL1   |     33.45     |
| 135  |  id-4833  |    Q4QBL1   |     33.81     |
| 136  |   id-793  |    Q4QBL1   |     34.36     |
| 137  |  id-1476  |    Q4QBL1   |     34.45     |
| 138  |  id-3231  |    Q4QBL1   |     34.76     |
| 139  |   id-761  |    Q4QBL1   |     35.11     |
| 140  |    id-5   |    Q4QBL1   |     35.17     |
| 141  |  id-1909  |    Q4QBL1   |     35.17     |
| 142  |  id-5005  |    Q4QBL1   |     35.37     |
| 143  |   id-446  |    Q4QBL1   |     35.41     |
| 144  |  id-1216  |    Q4QBL1   |     35.41     |
| 145  |  id-5381  |    Q4QBL1   |     35.48     |
| 146  |  id-5358  |    Q4QBL1   |     35.82     |
| 147  |   id-409  |    Q4QBL1   |     36.13     |
| 148  |  id-3209  |    Q4QBL1   |     36.44     |
| 149  |  id-4554  |    Q4QBL1   |     36.70     |
| 150  |   id-981  |    Q4QBL1   |     36.87     |
| 151  |  id-2869  |    Q4QBL1   |     37.14     |
| 152  |   id-230  |    Q4QBL1   |     37.16     |
| 153  |  id-2840  |    Q4QBL1   |     37.22     |
| 154  |  id-1120  |    Q4QBL1   |     37.24     |
| 155  |   id-837  |    Q4QBL1   |     37.50     |
| 156  |  id-1631  |    Q4QBL1   |     37.57     |
| 157  |  id-4485  |    Q4QBL1   |     38.43     |
| 158  |  id-2367  |    Q4QBL1   |     38.60     |
| 159  |  id-4897  |    Q4QBL1   |     38.60     |
| 160  |  id-5098  |    Q4QBL1   |     38.80     |
| 161  |  id-1102  |    Q4QBL1   |     39.16     |
| 162  |   id-365  |    Q4QBL1   |     39.19     |
| 163  |  id-4939  |    Q4QBL1   |     39.27     |
| 164  |  id-3553  |    Q4QBL1   |     39.40     |
| 165  |   id-243  |    Q4QBL1   |     39.79     |
| 166  |  id-5349  |    Q4QBL1   |     40.44     |
| 167  |   id-642  |    Q4QBL1   |     40.44     |
| 168  |   id-681  |    Q4QBL1   |     40.80     |
| 169  |  id-3611  |    Q4QBL1   |     41.32     |
| 170  |  id-4993  |    Q4QBL1   |     41.69     |
| 171  |  id-4452  |    Q4QBL1   |     41.72     |
| 172  |  id-2371  |    Q4QBL1   |     41.96     |
| 173  |  id-1819  |    Q4QBL1   |     42.04     |
| 174  |  id-2228  |    Q4QBL1   |     42.05     |
| 175  |  id-5233  |    Q4QBL1   |     42.09     |
| 176  |   id-214  |    Q4QBL1   |     42.11     |
| 177  |  id-2838  |    Q4QBL1   |     42.14     |
| 178  |  id-1635  |    Q4QBL1   |     42.58     |
| 179  |  id-2677  |    Q4QBL1   |     43.08     |
| 180  |  id-3616  |    Q4QBL1   |     43.35     |
| 181  |   id-610  |    Q4QBL1   |     43.85     |
| 182  |   id-130  |    Q4QBL1   |     43.88     |
| 183  |  id-1639  |    Q4QBL1   |     44.62     |
| 184  |   id-522  |    Q4QBL1   |     45.06     |
| 185  |   id-646  |    Q4QBL1   |     45.06     |
| 186  |  id-5201  |    Q4QBL1   |     45.57     |
| 187  |  id-3141  |    Q4QBL1   |     45.60     |
| 188  |  id-1797  |    Q4QBL1   |     45.74     |
| 189  |  id-1958  |    Q4QBL1   |     46.24     |
| 190  |  id-2325  |    Q4QBL1   |     46.31     |
| 191  |  id-3871  |    Q4QBL1   |     46.49     |
| 192  |  id-3142  |    Q4QBL1   |     46.69     |
| 193  |  id-4606  |    Q4QBL1   |     46.72     |
| 194  |  id-5390  |    Q4QBL1   |     47.04     |
| 195  |  id-4119  |    Q4QBL1   |     47.06     |
| 196  |   id-957  |    Q4QBL1   |     47.38     |
| 197  |  id-4727  |    Q4QBL1   |     47.40     |
| 198  |   id-923  |    Q4QBL1   |     47.54     |
| 199  |  id-1893  |    Q4QBL1   |     47.58     |
| 200  |   id-926  |    Q4QBL1   |     47.60     |
| 201  |  id-2581  |    Q4QBL1   |     47.69     |
| 202  |  id-2119  |    Q4QBL1   |     47.90     |
| 203  |  id-4802  |    Q4QBL1   |     47.94     |
| 204  |  id-1222  |    Q4QBL1   |     48.01     |
| 205  |  id-3746  |    Q4QBL1   |     48.30     |
| 206  |  id-3093  |    Q4QBL1   |     48.40     |
| 207  |  id-4875  |    Q4QBL1   |     48.59     |
| 208  |  id-4366  |    Q4QBL1   |     48.90     |
| 209  |  id-1103  |    Q4QBL1   |     48.96     |
| 210  |  id-4226  |    Q4QBL1   |     49.12     |
| 211  |  id-2156  |    Q4QBL1   |     49.48     |
| 212  |  id-1346  |    Q4QBL1   |     49.66     |
| 213  |  id-1604  |    Q4QBL1   |     49.92     |
| 214  |  id-3292  |    Q4QBL1   |     50.07     |
| 215  |  id-1757  |    Q4QBL1   |     50.46     |
| 216  |  id-2831  |    Q4QBL1   |     50.72     |
| 217  |  id-4004  |    Q4QBL1   |     50.85     |
| 218  |  id-1475  |    Q4QBL1   |     51.67     |
| 219  |   id-345  |    Q4QBL1   |     53.34     |
| 220  |   id-777  |    Q4QBL1   |     53.61     |
| 221  |  id-1640  |    Q4QBL1   |     53.89     |
| 222  |  id-2333  |    Q4QBL1   |     54.29     |
| 223  |   id-390  |    Q4QBL1   |     54.41     |
| 224  |  id-2561  |    Q4QBL1   |     55.37     |
| 225  |  id-1032  |    Q4QBL1   |     56.04     |
| 226  |  id-5289  |    Q4QBL1   |     56.29     |
| 227  |  id-2413  |    Q4QBL1   |     56.78     |
| 228  |  id-3520  |    Q4QBL1   |     57.65     |
| 229  |   id-760  |    Q4QBL1   |     59.17     |
| 230  |  id-5291  |    Q4QBL1   |     59.30     |
| 231  |  id-5256  |    Q4QBL1   |     61.12     |
| 232  |  id-5260  |    Q4QBL1   |     61.16     |
| 233  |  id-1279  |    Q4QBL1   |     61.33     |
| 234  |  id-4401  |    Q4QBL1   |     61.76     |
| 235  |  id-2481  |    Q4QBL1   |     61.93     |
| 236  |  id-4507  |    Q4QBL1   |     62.17     |
| 237  |  id-4546  |    Q4QBL1   |     62.30     |
| 238  |  id-1167  |    Q4QBL1   |     62.32     |
| 239  |  id-3606  |    Q4QBL1   |     62.49     |
| 240  |  id-3523  |    Q4QBL1   |     62.64     |
| 241  |  id-1204  |    Q4QBL1   |     62.73     |
| 242  |   id-137  |    Q4QBL1   |     62.79     |
| 243  |  id-5145  |    Q4QBL1   |     64.12     |
| 244  |   id-247  |    Q4QBL1   |     64.42     |
| 245  |  id-1508  |    Q4QBL1   |     64.51     |
| 246  |  id-2722  |    Q4QBL1   |     64.51     |
| 247  |  id-3862  |    Q4QBL1   |     64.51     |
| 248  |  id-5046  |    Q4QBL1   |     64.75     |
| 249  |  id-2474  |    Q4QBL1   |     64.96     |
| 250  |  id-4810  |    Q4QBL1   |     65.32     |
| 251  |  id-1146  |    Q4QBL1   |     65.46     |
| 252  |   id-129  |    Q4QBL1   |     66.35     |
| 253  |  id-1089  |    Q4QBL1   |     66.51     |
| 254  |  id-2372  |    Q4QBL1   |     66.55     |
| 255  |  id-1483  |    Q4QBL1   |     67.20     |
| 256  |  id-1304  |    Q4QBL1   |     67.43     |
| 257  |  id-2032  |    Q4QBL1   |     67.65     |
| 258  |   id-458  |    Q4QBL1   |     67.66     |
| 259  |  id-1057  |    Q4QBL1   |     68.00     |
| 260  |  id-2163  |    Q4QBL1   |     68.40     |
| 261  |  id-1201  |    Q4QBL1   |     68.44     |
| 262  |  id-2424  |    Q4QBL1   |     68.57     |
| 263  |   id-464  |    Q4QBL1   |     68.69     |
| 264  |  id-1352  |    Q4QBL1   |     70.77     |
| 265  |  id-1889  |    Q4QBL1   |     71.00     |
| 266  |  id-1783  |    Q4QBL1   |     71.03     |
| 267  |  id-2022  |    Q4QBL1   |     71.22     |
| 268  |  id-3579  |    Q4QBL1   |     71.45     |
| 269  |   id-904  |    Q4QBL1   |     71.50     |
| 270  |  id-3095  |    Q4QBL1   |     72.68     |
| 271  |  id-5305  |    Q4QBL1   |     72.74     |
| 272  |  id-4329  |    Q4QBL1   |     73.26     |
| 273  |  id-1406  |    Q4QBL1   |     73.38     |
| 274  |   id-466  |    Q4QBL1   |     73.76     |
| 275  |  id-1481  |    Q4QBL1   |     74.53     |
| 276  |  id-2111  |    Q4QBL1   |     74.55     |
| 277  |  id-2611  |    Q4QBL1   |     75.11     |
| 278  |   id-814  |    Q4QBL1   |     75.81     |
| 279  |  id-4808  |    Q4QBL1   |     75.82     |
| 280  |  id-1217  |    Q4QBL1   |     76.67     |
| 281  |  id-1206  |    Q4QBL1   |     77.26     |
| 282  |  id-2607  |    Q4QBL1   |     77.43     |
| 283  |  id-1743  |    Q4QBL1   |     77.58     |
| 284  |  id-1255  |    Q4QBL1   |     77.60     |
| 285  |  id-1084  |    Q4QBL1   |     78.00     |
| 286  |  id-4223  |    Q4QBL1   |     78.56     |
| 287  |  id-1879  |    Q4QBL1   |     79.18     |
| 288  |  id-1198  |    Q4QBL1   |     79.84     |
| 289  |   id-487  |    Q4QBL1   |     79.96     |
| 290  |  id-3406  |    Q4QBL1   |     79.99     |
| 291  |  id-4535  |    Q4QBL1   |     80.49     |
| 292  |   id-730  |    Q4QBL1   |     80.50     |
| 293  |  id-4651  |    Q4QBL1   |     80.50     |
| 294  |  id-4832  |    Q4QBL1   |     80.54     |
| 295  |  id-4151  |    Q4QBL1   |     80.69     |
| 296  |  id-5133  |    Q4QBL1   |     83.99     |
| 297  |  id-1734  |    Q4QBL1   |     84.71     |
| 298  |   id-779  |    Q4QBL1   |     86.04     |
| 299  |   id-213  |    Q4QBL1   |     86.89     |
| 300  |  id-3048  |    Q4QBL1   |     87.05     |
| 301  |  id-1779  |    Q4QBL1   |     87.77     |
| 302  |  id-4322  |    Q4QBL1   |     87.95     |
| 303  |  id-1572  |    Q4QBL1   |     90.67     |
| 304  |  id-1962  |    Q4QBL1   |     90.67     |
| 305  |  id-1422  |    Q4QBL1   |     91.05     |
| 306  |  id-4721  |    Q4QBL1   |     91.06     |
| 307  |  id-2492  |    Q4QBL1   |     91.42     |
| 308  |  id-2571  |    Q4QBL1   |     91.92     |
| 309  |  id-1327  |    Q4QBL1   |     92.39     |
| 310  |   id-468  |    Q4QBL1   |     93.66     |
| 311  |  id-3356  |    Q4QBL1   |     93.66     |
| 312  |  id-3206  |    Q4QBL1   |     94.36     |
| 313  |  id-3390  |    Q4QBL1   |     94.66     |
| 314  |  id-2103  |    Q4QBL1   |     94.82     |
| 315  |  id-5360  |    Q4QBL1   |     94.86     |
| 316  |  id-2396  |    Q4QBL1   |     94.97     |
| 317  |   id-491  |    Q4QBL1   |     95.18     |
| 318  |   id-191  |    Q4QBL1   |     95.18     |
| 319  |  id-4870  |    Q4QBL1   |     95.34     |
| 320  |  id-3273  |    Q4QBL1   |     95.52     |
| 321  |   id-611  |    Q4QBL1   |     96.70     |
| 322  |  id-5371  |    Q4QBL1   |     97.12     |
| 323  |  id-3429  |    Q4QBL1   |     98.02     |
| 324  |  id-1970  |    Q4QBL1   |     98.43     |
| 325  |  id-2734  |    Q4QBL1   |     98.58     |
| 326  |  id-1613  |    Q4QBL1   |     99.52     |
| 327  |  id-2707  |    Q4QBL1   |     99.78     |
| 328  |  id-5307  |    Q4QBL1   |     99.95     |
| 329  |  id-1733  |    Q4QBL1   |     100.04    |
| 330  |  id-4628  |    Q4QBL1   |     100.99    |
| 331  |  id-4157  |    Q4QBL1   |     101.20    |
| 332  |   id-348  |    Q4QBL1   |     102.24    |
| 333  |   id-824  |    Q4QBL1   |     102.24    |
| 334  |   id-297  |    Q4QBL1   |     102.80    |
| 335  |   id-454  |    Q4QBL1   |     102.83    |
| 336  |  id-2999  |    Q4QBL1   |     102.83    |
| 337  |  id-1594  |    Q4QBL1   |     103.22    |
| 338  |   id-710  |    Q4QBL1   |     103.27    |
| 339  |  id-2547  |    Q4QBL1   |     103.36    |
| 340  |  id-2152  |    Q4QBL1   |     103.78    |
| 341  |  id-1849  |    Q4QBL1   |     104.65    |
| 342  |  id-2759  |    Q4QBL1   |     105.28    |
| 343  |  id-1961  |    Q4QBL1   |     105.59    |
| 344  |  id-4230  |    Q4QBL1   |     105.78    |
| 345  |   id-865  |    Q4QBL1   |     105.95    |
| 346  |  id-2426  |    Q4QBL1   |     106.09    |
| 347  |  id-1008  |    Q4QBL1   |     106.14    |
| 348  |  id-1205  |    Q4QBL1   |     106.84    |
| 349  |  id-2273  |    Q4QBL1   |     107.28    |
| 350  |  id-2482  |    Q4QBL1   |     107.95    |
| 351  |   id-125  |    Q4QBL1   |     108.30    |
| 352  |  id-2539  |    Q4QBL1   |     108.72    |
| 353  |  id-1067  |    Q4QBL1   |     108.94    |
| 354  |  id-1251  |    Q4QBL1   |     109.34    |
| 355  |  id-3088  |    Q4QBL1   |     109.54    |
| 356  |   id-766  |    Q4QBL1   |     109.72    |
| 357  |  id-2862  |    Q4QBL1   |     110.03    |
