+------+-----------+-------------+---------------+
| Rank | Drug Name | Target Name | Binding Score |
| 106  |  id-1354  |    Q4QHJ8   |     20.20     |
| 107  |  id-2562  |    Q4QHJ8   |     20.24     |
| 108  |  id-4673  |    Q4QHJ8   |     20.35     |
| 109  |   id-296  |    Q4QHJ8   |     20.45     |
| 110  |  id-2733  |    Q4QHJ8   |     20.50     |
| 111  |   id-383  |    Q4QHJ8   |     20.65     |
| 112  |   id-465  |    Q4QHJ8   |     21.04     |
| 113  |   id-336  |    Q4QHJ8   |     21.13     |
| 114  |  id-3341  |    Q4QHJ8   |     21.16     |
| 115  |   id-320  |    Q4QHJ8   |     21.26     |
| 116  |  id-3331  |    Q4QHJ8   |     21.45     |
| 117  |  id-2809  |    Q4QHJ8   |     21.59     |
| 118  |  id-1261  |    Q4QHJ8   |     21.64     |
| 119  |  id-1858  |    Q4QHJ8   |     21.70     |
| 120  |   id-260  |    Q4QHJ8   |     21.76     |
| 121  |  id-1402  |    Q4QHJ8   |     21.76     |
| 122  |  id-5217  |    Q4QHJ8   |     21.92     |
| 123  |  id-4660  |    Q4QHJ8   |     22.05     |
| 124  |   id-433  |    Q4QHJ8   |     22.09     |
| 125  |  id-2752  |    Q4QHJ8   |     22.18     |
| 126  |  id-4357  |    Q4QHJ8   |     22.26     |
| 127  |  id-1616  |    Q4QHJ8   |     22.43     |
| 128  |  id-4947  |    Q4QHJ8   |     22.46     |
| 129  |  id-5306  |    Q4QHJ8   |     22.58     |
| 130  |  id-1434  |    Q4QHJ8   |     22.69     |
| 131  |  id-3502  |    Q4QHJ8   |     23.27     |
| 132  |   id-761  |    Q4QHJ8   |     23.50     |
| 133  |  id-1303  |    Q4QHJ8   |     23.52     |
| 134  |  id-1476  |    Q4QHJ8   |     23.68     |
| 135  |  id-3231  |    Q4QHJ8   |     23.76     |
| 136  |   id-446  |    Q4QHJ8   |     23.81     |
| 137  |   id-793  |    Q4QHJ8   |     23.86     |
| 138  |  id-5381  |    Q4QHJ8   |     24.01     |
| 139  |    id-5   |    Q4QHJ8   |     24.02     |
| 140  |  id-1909  |    Q4QHJ8   |     24.02     |
| 141  |  id-1216  |    Q4QHJ8   |     24.28     |
| 142  |  id-5005  |    Q4QHJ8   |     24.68     |
| 143  |  id-4554  |    Q4QHJ8   |     24.70     |
| 144  |  id-3209  |    Q4QHJ8   |     24.77     |
