+------+------------------+-------------+---------------+
| Rank |    Drug Name     | Target Name | Binding Score |
|  99  | ZINC000003830842 |    Q4QBL1   |     14.57     |
| 100  | ZINC000000896543 |    Q4QBL1   |     14.57     |
| 101  | ZINC000000897240 |    Q4QBL1   |     15.63     |
| 102  | ZINC000000601229 |    Q4QBL1   |     15.63     |
| 103  | ZINC000000597260 |    Q4QBL1   |     16.07     |
| 104  | ZINC000022064534 |    Q4QBL1   |     16.07     |
| 105  | ZINC000003959242 |    Q4QBL1   |     16.23     |
| 106  | ZINC000000119434 |    Q4QBL1   |     16.61     |
| 107  | ZINC000100057533 |    Q4QBL1   |     16.61     |
| 108  | ZINC000006092086 |    Q4QBL1   |     16.78     |
| 109  | ZINC000006092087 |    Q4QBL1   |     16.78     |
| 110  | ZINC000033650458 |    Q4QBL1   |     18.14     |
| 111  | ZINC000000968338 |    Q4QBL1   |     18.46     |
| 112  | ZINC000000968340 |    Q4QBL1   |     18.46     |
| 113  | ZINC000000968310 |    Q4QBL1   |     18.72     |
| 114  | ZINC000000000509 |    Q4QBL1   |     18.72     |
| 115  | ZINC000000001395 |    Q4QBL1   |     18.88     |
| 116  | ZINC000001997240 |    Q4QBL1   |     18.88     |
| 117  | ZINC000019632718 |    Q4QBL1   |     19.19     |
| 118  | ZINC000019632713 |    Q4QBL1   |     19.19     |
| 119  | ZINC000003814360 |    Q4QBL1   |     19.60     |
| 120  | ZINC000150338699 |    Q4QBL1   |     19.67     |
| 121  | ZINC000936069565 |    Q4QBL1   |     19.73     |
| 122  | ZINC000164528615 |    Q4QBL1   |     19.73     |
| 123  | ZINC000003920027 |    Q4QBL1   |     19.89     |
| 124  | ZINC000035801098 |    Q4QBL1   |     20.22     |
| 125  | ZINC000002530703 |    Q4QBL1   |     20.24     |
| 126  | ZINC000003929508 |    Q4QBL1   |     20.24     |
| 127  | ZINC000038141706 |    Q4QBL1   |     20.40     |
| 128  | ZINC000038141705 |    Q4QBL1   |     20.40     |
| 129  | ZINC000021981258 |    Q4QBL1   |     20.93     |
| 130  | ZINC000021981256 |    Q4QBL1   |     20.93     |
| 131  | ZINC000001853550 |    Q4QBL1   |     21.10     |
| 132  | ZINC000003992480 |    Q4QBL1   |     21.56     |
| 133  | ZINC000100378061 |    Q4QBL1   |     21.79     |
| 134  | ZINC000003830820 |    Q4QBL1   |     21.83     |
| 135  | ZINC000095618739 |    Q4QBL1   |     22.24     |
| 136  | ZINC000095618740 |    Q4QBL1   |     22.24     |
| 137  | ZINC000025757754 |    Q4QBL1   |     22.56     |
| 138  | ZINC000021981254 |    Q4QBL1   |     22.58     |
| 139  | ZINC000021981252 |    Q4QBL1   |     22.58     |
| 140  | ZINC000004097440 |    Q4QBL1   |     23.07     |
| 141  | ZINC000012503162 |    Q4QBL1   |     23.07     |
| 142  | ZINC000019362693 |    Q4QBL1   |     23.08     |
| 143  | ZINC000095618655 |    Q4QBL1   |     23.32     |
| 144  | ZINC000095618656 |    Q4QBL1   |     23.32     |
| 145  | ZINC000012404516 |    Q4QBL1   |     23.58     |
| 146  | ZINC000001530694 |    Q4QBL1   |     23.64     |
| 147  | ZINC000100016084 |    Q4QBL1   |     23.73     |
| 148  | ZINC000012503068 |    Q4QBL1   |     23.73     |
| 149  | ZINC000100018594 |    Q4QBL1   |     23.73     |
| 150  | ZINC000100018598 |    Q4QBL1   |     23.73     |
| 151  | ZINC000100371992 |    Q4QBL1   |     23.73     |
| 152  | ZINC000000005994 |    Q4QBL1   |     24.35     |
| 153  | ZINC000022064224 |    Q4QBL1   |     25.06     |
| 154  | ZINC000248022807 |    Q4QBL1   |     25.06     |
| 155  | ZINC000248022822 |    Q4QBL1   |     25.06     |
| 156  | ZINC000248022819 |    Q4QBL1   |     25.06     |
| 157  | ZINC000248022825 |    Q4QBL1   |     25.06     |
| 158  | ZINC000022064220 |    Q4QBL1   |     25.06     |
| 159  | ZINC000084403367 |    Q4QBL1   |     25.74     |
| 160  | ZINC000100001908 |    Q4QBL1   |     25.74     |
| 161  | ZINC000003983936 |    Q4QBL1   |     25.79     |
| 162  | ZINC000005752191 |    Q4QBL1   |     25.79     |
| 163  | ZINC000198970879 |    Q4QBL1   |     26.19     |
| 164  | ZINC000013763987 |    Q4QBL1   |     26.52     |
| 165  | ZINC000030691727 |    Q4QBL1   |     26.88     |
| 166  | ZINC000030691722 |    Q4QBL1   |     26.88     |
| 167  | ZINC000251257402 |    Q4QBL1   |     27.09     |
| 168  | ZINC000000898188 |    Q4QBL1   |     27.09     |
| 169  | ZINC000014880007 |    Q4QBL1   |     27.09     |
| 170  | ZINC000008220548 |    Q4QBL1   |     27.09     |
| 171  | ZINC000261515676 |    Q4QBL1   |     27.09     |
| 172  | ZINC000253387331 |    Q4QBL1   |     27.09     |
| 173  | ZINC000106400715 |    Q4QBL1   |     27.09     |
| 174  | ZINC000003918453 |    Q4QBL1   |     27.30     |
| 175  | ZINC000118913630 |    Q4QBL1   |     27.49     |
| 176  | ZINC000008234190 |    Q4QBL1   |     27.49     |
| 177  | ZINC000049013803 |    Q4QBL1   |     27.60     |
| 178  | ZINC000013674440 |    Q4QBL1   |     27.60     |
| 179  | ZINC000030691420 |    Q4QBL1   |     27.75     |
| 180  | ZINC000118915227 |    Q4QBL1   |     29.00     |
| 181  | ZINC000118915228 |    Q4QBL1   |     29.00     |
| 182  | ZINC000118915229 |    Q4QBL1   |     29.00     |
| 183  | ZINC000118915230 |    Q4QBL1   |     29.00     |
| 184  | ZINC000261494697 |    Q4QBL1   |     29.00     |
| 185  | ZINC000261494696 |    Q4QBL1   |     29.00     |
| 186  | ZINC000095618870 |    Q4QBL1   |     29.00     |
| 187  | ZINC000003938686 |    Q4QBL1   |     29.28     |
| 188  | ZINC000026892643 |    Q4QBL1   |     29.35     |
| 189  | ZINC000030731089 |    Q4QBL1   |     29.69     |
| 190  | ZINC000044699444 |    Q4QBL1   |     29.69     |
| 191  | ZINC000006117751 |    Q4QBL1   |     29.78     |
| 192  | ZINC000006117750 |    Q4QBL1   |     29.78     |
| 193  | ZINC000019701765 |    Q4QBL1   |     30.21     |
| 194  | ZINC000003875387 |    Q4QBL1   |     30.31     |
| 195  | ZINC000008101127 |    Q4QBL1   |     30.33     |
| 196  | ZINC000000000106 |    Q4QBL1   |     30.50     |
| 197  | ZINC000000002276 |    Q4QBL1   |     30.50     |
| 198  | ZINC000000897236 |    Q4QBL1   |     30.55     |
| 199  | ZINC000000897234 |    Q4QBL1   |     30.55     |
